id,name_formal,state,official_sk,district_sk,party,gov_type,city,district_id,valid_to,last_name,valid_from,first_name,links,chamber_id,num_officials,chamber_type
20420,California Senate,CA,14533,755,Republican,STATE,,4,2012-08-31 00:00:00+00,La Malfa,2010-12-06 00:00:00+00,Doug,200860,1403,0,UPPER
9635,United States House of Representatives,CA,9635,870,Democrat,NATIONAL,,13,2013-01-03 00:00:00+00,Stark,2011-01-06 00:00:00+00,Fortney,#,4507,0,LOWER
168810,Victorville City Council,CA,168411,858426,,LOCAL,Victorville,At Large,2020-11-03 00:00:00+00,Garcia,2016-12-01 00:00:00+00,Gloria,#,4016,1,LOWER
54579,Los Angeles City Council,CA,15874,1764,,LOCAL,Los Angeles,7,2013-07-01 00:00:00+00,Alarcón,2007-01-01 00:00:00+00,Richard,#,4327,0,LOWER
4259,California Senate,CA,4259,740,Republican,STATE,,18,2010-12-06 00:00:00+00,Ashburn,0001-01-01 00:00:00+00,Roy,#,1403,0,UPPER
198056,Garden Grove City Council,CA,174889,859059,,LOCAL,Garden Grove,3,2020-12-15 00:00:00+00,Nguyen,2016-12-20 00:00:00+00,Thu-Ha,#,4572,1,LOWER
168962,Ontario City Council,CA,168733,858342,,LOCAL,Ontario,At Large,2020-11-30 00:00:00+00,Dorst-Porada,2016-11-01 00:00:00+00,Debra,#,3806,1,LOWER
201148,Escondido City Council,CA,174134,859116,,LOCAL,Escondido,3,2020-12-07 00:00:00+00,Diaz,2015-10-03 00:00:00+00,Olga,#,4384,1,LOWER
169055,Vista City Council,CA,168834,858425,,LOCAL,Vista,At Large,2020-12-01 00:00:00+00,Rigby,2016-12-01 00:00:00+00,Amanda,#,3808,1,LOWER
200032,San Francisco Board of Supervisors,CA,54690,859508,,LOCAL,San Francisco,5,2021-01-08 00:00:00+00,Breed,2013-01-08 00:00:00+00,London,191642,2636,1,LOWER
188276,Rialto City Council,CA,168856,858423,,LOCAL,Rialto,At Large,2020-12-01 00:00:00+00,Carrizales,2016-11-01 00:00:00+00,Andy,#,3346,1,LOWER
199881,Anaheim City Council,CA,68518,841704,,LOCAL,Anaheim,4,2020-12-01 00:00:00+00,Kring,2016-12-06 00:00:00+00,Lucille,#,4255,1,LOWER
192311,California Senate,CA,3038,752735,Republican,STATE,,8,2018-12-03 00:00:00+00,Berryhill,2014-12-01 00:00:00+00,Tom,#,1403,1,UPPER
179562,Riverside City Council,CA,177777,1795,,LOCAL,Riverside,7,2017-09-18 00:00:00+00,VACANT,2017-07-08 00:00:00+00,VACANT,#,2717,1,LOWER
96053,San Jose City Council,CA,88129,2691,,LOCAL,San Jose,4,2015-01-22 00:00:00+00,VACANT,2014-12-01 00:00:00+00,VACANT,#,2638,1,LOWER
