city,id,last_name,official_sk,district_id,district_sk,name_formal,party,num_officials,first_name,chamber_id,gov_type,valid_from,links,chamber_type,state,valid_to
Jersey City,195106,Robinson,178643,F,2347,Jersey City City Council,,1,Jermaine,4225,LOCAL,2017-01-21 00:00:00+00,#,LOWER,NJ,2022-01-01 00:00:00+00
,9002,Malone,9002,000000000030,10856,New Jersey General Assembly,Republican,2,Joseph,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
,199454,Sarlo,7516,000000000036,4655,New Jersey State Senate,Democrat,1,Paul,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
Paterson,201000,Sayegh,174018,6,858495,Paterson City Council,,1,Andre,4618,LOCAL,2012-03-05 00:00:00+00,#,LOWER,NJ,2022-07-01 00:00:00+00
Elizabeth,195706,Cuesta,174876,At Large,858472,Elizabeth City Council,,1,Frank,4383,LOCAL,2012-02-05 00:00:00+00,#,LOWER,NJ,2021-01-01 00:00:00+00
,196155,Egan,11930,000000000017,10843,New Jersey General Assembly,Democrat,2,Joseph,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,56030,Lautenberg,16696,NJ,47,United States Senate,Democrat,2,Frank,2675,NATIONAL,2009-01-03 00:00:00+00,#,UPPER,NJ,2013-06-03 00:00:00+00
,70069,Andrews,12890,000000000001,757329,United States House of Representatives,Democrat,1,Robert,4507,NATIONAL,2013-01-03 00:00:00+00,#,LOWER,NJ,2014-02-18 00:00:00+00
,196329,Timberlake,183812,000000000034,10860,New Jersey General Assembly,Democrat,2,Britnee,4411,STATE,2018-01-29 00:00:00+00,#,LOWER,NJ,2018-11-30 00:00:00+00
,196269,Peterson,16095,000000000023,10849,New Jersey General Assembly,Republican,2,Erik,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,10313,Holzapfel,10313,000000000010,10836,New Jersey General Assembly,Republican,2,James,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
,159788,Norcross,11762,000000000001,757329,United States House of Representatives,Democrat,1,Donald,4507,NATIONAL,2014-11-12 00:00:00+00,82518,LOWER,NJ,2019-01-03 00:00:00+00
,196062,Holzapfel,10756,000000000010,4625,New Jersey State Senate,Republican,1,James,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
Atlantic City,192082,Randolph,4738,000000000001,364,Atlantic City Council,Democrat,1,Aaron,1620,LOCAL,2012-01-01 00:00:00+00,#,LOWER,NJ,2020-01-01 00:00:00+00
,186808,Phoebus,121743,000000000024,10850,New Jersey General Assembly,Republican,2,Gail,4411,STATE,2016-01-12 00:00:00+00,#,LOWER,NJ,2018-01-09 00:00:00+00
,196279,Prieto,12801,000000000032,10858,New Jersey General Assembly,Democrat,2,Vincent,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2018-02-25 00:00:00+00
,198742,VACANT,196280,000000000032,10858,New Jersey General Assembly,,2,VACANT,4411,STATE,2018-02-25 00:00:00+00,#,LOWER,NJ,2018-04-01 00:00:00+00
,198700,Green,6204,000000000022,10848,New Jersey General Assembly,Democrat,2,Jerry,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2018-04-18 00:00:00+00
Atlantic City,123041,Moore,16748,000000000003,864,Atlantic City Council,Democrat,1,Steven,1620,LOCAL,2012-01-02 00:00:00+00,#,LOWER,NJ,2016-01-01 00:00:00+00
Atlantic City,178121,Guardian,123032,ATLANTIC CITY,128,Atlantic City Mayor,Republican,1,Donald,358,LOCAL,2014-01-01 00:00:00+00,#,EXEC,NJ,2018-01-01 00:00:00+00
,121687,VACANT,121685,000000000003,10829,New Jersey General Assembly,,2,VACANT,4411,STATE,2015-01-02 00:00:00+00,#,LOWER,NJ,2015-01-14 00:00:00+00
,12040,Sires,12040,000000000013,1480,United States House of Representatives,Democrat,0,Albio,4507,NATIONAL,2011-01-04 00:00:00+00,#,LOWER,NJ,2013-01-03 00:00:00+00
,196157,Freiman,183569,000000000016,10842,New Jersey General Assembly,Democrat,2,Roy,4411,STATE,2018-01-09 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196331,Vainieri Huttle,3019,000000000037,10863,New Jersey General Assembly,Democrat,2,Valerie,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,181997,Allen,4256,000000000007,4622,New Jersey State Senate,Republican,1,Diane,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2018-01-09 00:00:00+00
,196672,Payne,23218,000000000010,757338,United States House of Representatives,Democrat,1,Donald,4507,NATIONAL,2013-01-03 00:00:00+00,#,LOWER,NJ,2019-01-03 00:00:00+00
Atlantic City,182904,Gilliam,5972,At Large,2007,Atlantic City Council,,3,Frank,1620,LOCAL,2010-01-01 00:00:00+00,200376,LOWER,NJ,2018-01-01 00:00:00+00
,181992,Bell,180284,000000000002,4616,New Jersey State Senate,Democrat,1,Colin,2363,STATE,2017-10-05 00:00:00+00,#,UPPER,NJ,2018-01-09 00:00:00+00
Newark,200994,Crump,173934,At Large,858595,Newark City Council,,1,Mildred,4564,LOCAL,2014-07-01 00:00:00+00,#,LOWER,NJ,2022-07-01 00:00:00+00
,18231,Thompson,18231,000000000013,10839,New Jersey General Assembly,Republican,2,Samuel,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
,196339,Reynolds-Jackson,194119,000000000015,10841,New Jersey General Assembly,Democrat,2,Verlina,4411,STATE,2018-02-15 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196161,Greenwald,16155,000000000006,10832,New Jersey General Assembly,Democrat,2,Louis,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196100,Pou,3064,000000000035,4654,New Jersey State Senate,Democrat,1,Nellie,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
Atlantic City,9364,Schultz,9364,At Large,2007,Atlantic City Council,,3,John,1620,LOCAL,0001-01-01 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
,196330,Tucker,11625,000000000028,10854,New Jersey General Assembly,Democrat,2,Cleopatra,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
Newark,200993,McIver,200993,Central,858716,Newark City Council,,1,LaMonica,4564,LOCAL,2018-07-01 00:00:00+00,#,LOWER,NJ,2022-07-01 00:00:00+00
Atlantic City,14797,Robinson,14797,At Large,2007,Atlantic City Council,,3,Eugene,1620,LOCAL,0001-01-01 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
Atlantic City,200376,Gilliam,5972,ATLANTIC CITY,128,Atlantic City Mayor,Democrat,1,Frank,358,LOCAL,2018-01-01 00:00:00+00,182904,EXEC,NJ,2022-01-01 00:00:00+00
,11350,Ryan,11350,000000000036,10862,New Jersey General Assembly,Democrat,2,Kevin,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
,196167,Houghtaling,121717,000000000011,10837,New Jersey General Assembly,Democrat,2,Eric,4411,STATE,2016-01-12 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
Paterson,198796,Williams-Warren,198796,PATERSON,859089,Paterson Mayor,,1,Jane,4579,LOCAL,2017-10-02 00:00:00+00,#,EXEC,NJ,2018-07-01 00:00:00+00
Jersey City,129084,Ramchal,69703,B,2306,Jersey City City Council,,1,Khemraj,4225,LOCAL,2013-07-01 00:00:00+00,#,LOWER,NJ,2016-05-01 00:00:00+00
,161409,VACANT,161409,000000000040,10866,New Jersey General Assembly,,2,VACANT,4411,STATE,2016-11-01 00:00:00+00,#,LOWER,NJ,2016-12-12 00:00:00+00
Atlantic City,192080,Shabazz,123035,000000000003,864,Atlantic City Council,Democrat,1,Kaleem,1620,LOCAL,2016-01-01 00:00:00+00,#,LOWER,NJ,2020-01-01 00:00:00+00
,198743,Mejia,198741,000000000032,10858,New Jersey General Assembly,Democrat,2,Pedro,4411,STATE,2018-04-01 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196097,Sacco,5756,000000000032,4651,New Jersey State Senate,Democrat,1,Nicholas,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,196171,Howarth,121699,000000000008,10834,New Jersey General Assembly,Republican,2,Joe,4411,STATE,2016-01-12 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
