last_name,links,first_name,valid_to,district_id,chamber_type,city,valid_from,name_formal,party,id,district_sk,state,chamber_id,gov_type,num_officials,official_sk
Martinez,#,Armando,2015-01-05 00:00:00+00,000000000039,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,66295,754688,TX,2661,STATE,0,5052
Duff,#,Don,2019-05-31 00:00:00+00,3,LOWER,Denton,2017-06-30 00:00:00+00,Denton City Council,,176546,858521,TX,4530,LOCAL,1,174124
King Arnold,#,Carolyn,2017-06-01 00:00:00+00,4,LOWER,Dallas,2015-06-22 00:00:00+00,Dallas City Council,,179588,758062,TX,4287,LOCAL,1,109024
Jackson,#,Mike,2013-01-08 00:00:00+00,000000000011,UPPER,,2009-01-06 00:00:00+00,The Senate of Texas,Republican,21628,2387,TX,2664,STATE,0,11642
Price,#,Walter ,2015-01-05 00:00:00+00,000000000087,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,56803,754736,TX,2661,STATE,0,2861
McGough,#,B. Adam,2019-06-01 00:00:00+00,10,LOWER,Dallas,2015-06-22 00:00:00+00,Dallas City Council,,179594,758053,TX,4287,LOCAL,1,110417
Faircloth,#,Wayne,2019-01-08 00:00:00+00,23,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,193491,759977,TX,2661,STATE,1,82307
Ordeneaux,#,Keith,2018-05-31 00:00:00+00,At Large,LOWER,Pearland,2012-06-30 00:00:00+00,Pearland City Council,,176935,859044,TX,4105,LOCAL,1,173518
Hancock,252,Kelly,2019-01-08 00:00:00+00,000000000009,UPPER,,2013-01-08 00:00:00+00,The Senate of Texas,Republican,195308,754808,TX,2664,STATE,1,252
Hays,#,Elaine,2019-05-15 00:00:00+00,At Large,LOWER,Amarillo,2017-05-17 00:00:00+00,Amarillo City Council,,198004,858836,TX,4018,LOCAL,1,170418
Kleinschmidt,#,Tim,2015-01-05 00:00:00+00,000000000017,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,97394,754666,TX,2661,STATE,0,17176
VACANT,#,VACANT,2018-05-16 00:00:00+00,K,LOWER,Houston,2018-03-06 00:00:00+00,Houston City Council,,201516,2999,TX,2814,LOCAL,1,198677
Herrero,#,Abel,2019-01-08 00:00:00+00,34,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,193859,759988,TX,2661,STATE,1,44299
England,#,Kirk,2011-01-01 00:00:00+00,000000000106,LOWER,,2009-01-01 00:00:00+00,Texas House of Representatives,Republican,9686,5790,TX,2661,STATE,0,9686
Medina,#,Cris,2017-06-01 00:00:00+00,7,LOWER,San Antonio,2013-06-01 00:00:00+00,San Antonio City Council,,160163,760780,TX,1560,LOCAL,1,9528
Culberson,#,John,2013-01-03 00:00:00+00,000000000007,LOWER,,2011-01-03 00:00:00+00,United States House of Representatives,Republican,2994,1876,TX,4507,NATIONAL,0,2994
Shade,#,Randi,2011-06-01 00:00:00+00,AT LARGE,LOWER,Austin,2008-06-01 00:00:00+00,Austin City Council,,5944,2019,TX,4171,LOCAL,0,5944
Cook,#,John,2013-06-25 00:00:00+00,EL PASO,EXEC,El Paso,2009-06-22 00:00:00+00,El Paso Mayor,,53045,186,TX,138,LOCAL,1,11123
Brown,#,Peter,2010-01-01 00:00:00+00,At Large,LOWER,Houston,2008-01-01 00:00:00+00,Houston City Council,,14692,3029,TX,2814,LOCAL,5,14692
Leffingwell,#,Lee,2015-01-06 00:00:00+00,AUSTIN,EXEC,Austin,2012-06-15 00:00:00+00,Austin Mayor,,88101,134,TX,2610,LOCAL,0,10278
Vera,#,Robert,2019-05-21 00:00:00+00,6,LOWER,Garland,2017-05-16 00:00:00+00,Garland City Council,,200712,859053,TX,3096,LOCAL,1,173563
Latham,#,Thomas,2009-01-06 00:00:00+00,000000000101,LOWER,,0001-01-01 00:00:00+00,Texas House of Representatives,Republican,18062,5789,TX,2661,STATE,0,18062
Eltife,#,Kevin,2017-01-10 00:00:00+00,000000000001,UPPER,,2013-01-08 00:00:00+00,The Senate of Texas,Republican,112042,754800,TX,2664,STATE,1,11007
Davis,#,Yvonne,2015-01-05 00:00:00+00,000000000111,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56658,754760,TX,2661,STATE,0,11055
Paxton,410,Ken,2015-01-05 00:00:00+00,000000000008,UPPER,,2013-01-08 00:00:00+00,The Senate of Texas,Republican,82161,754807,TX,2664,STATE,1,410
Shingleton,#,Dennis,2013-06-03 00:00:00+00,000000000007,LOWER,Fort Worth,2011-07-12 00:00:00+00,Fort Worth City Council,,54424,1752,TX,4217,LOCAL,0,15857
Raymond,#,Richard,2019-01-08 00:00:00+00,42,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,193868,759996,TX,2661,STATE,1,13103
Price,#,Betsy,2019-06-01 00:00:00+00,FORT WORTH,EXEC,Fort Worth,2011-07-12 00:00:00+00,Fort Worth Mayor,Republican,200541,196,TX,2313,LOCAL,1,2393
